"","county","tdoses","svi_totpop","svi_2020","sdi_county_population","sdi_2020","sdiq","sviq","svi_rate","sdi_rate","cpc"
"23","Eaton",39135,109730,0.2683,109456,15,1,2,35.664813633464,35.7540929688642,0.795180722891566
"24","Emmet",13084,33175,0.1829,33104,12,1,1,39.4393368500377,39.5239246012566,0.939759036144578
"25","Genesee",104573,406770,0.9024,407875,66,5,5,25.7081397349854,25.6384921851057,0.228915662650602
"26","Gladwin",7643,25312,0.8537,25279,61,5,5,30.1951643489254,30.2345820641639,0.493975903614458
"27","Gogebic",3985,14715,0.4512,15061,44,3,3,27.081209650017,26.4590664630503,0.289156626506024
"28","Grand Traverse",44037,92640,0.2805,92181,11,1,2,47.535621761658,47.7723175057767,1
"29","Gratiot",11670,40692,0.3659,40916,52,4,2,28.6788557947508,28.5218496431714,0.397590361445783
"30","Hillsdale",9951,45707,0.6951,45757,58,5,4,21.7712822981163,21.7474921869878,0.072289156626506
"31","Houghton",10985,35890,0.7195,36070,62,5,4,30.6074115352466,30.4546714721375,0.530120481927711
"32","Huron",9825,31105,0.1951,31349,27,2,1,31.5865616460376,31.3407126224122,0.590361445783133
"33","Ingham",101383,290923,0.7927,290587,72,5,4,34.8487400446166,34.8890349533875,0.734939759036145
"34","Ionia",18028,64401,0.5366,64300,33,2,3,27.9933541404637,28.0373250388803,0.325301204819277
"35","Iosco",8073,25213,0.6341,25197,47,3,4,32.0191964462777,32.0395285152994,0.614457831325301
"36","Iron",3268,11099,0.3049,11152,27,2,2,29.4440940625282,29.3041606886657,0.457831325301205
"37","Isabella",15513,70363,0.878,70688,77,5,5,22.047098617171,21.9457333635129,0.0963855421686747
"38","Jackson",48640,158174,0.7073,158636,42,3,4,30.7509451616574,30.6613883355607,0.542168674698795
"39","Kalamazoo",95913,264322,0.6707,262745,46,3,4,36.2864233775471,36.5042151135131,0.843373493975904
"40","Kalkaska",5371,17725,0.561,17585,54,4,3,30.3018335684062,30.5430764856412,0.506024096385542
"41","Kent",261934,652617,0.6585,648121,32,2,4,40.1359449723191,40.4143670703464,0.975903614457831
"42","Keweenaw",684,2102,0.0122,2111,15,1,1,32.5404376784015,32.4017053529133,0.650602409638554
"43","Lake",2813,11805,0.8171,11852,64,5,5,23.8288860652266,23.7343908201147,0.132530120481928
"44","Lapeer",19582,87975,0.3171,88038,15,1,2,22.2585961921,22.2426679388446,0.108433734939759
"45","Leelanau",7640,21649,0.0244,21652,2,1,1,35.2903136403529,35.2854239793091,0.771084337349398
"46","Lenawee",27759,98310,0.4756,98381,24,2,3,28.2361916386939,28.2158140291316,0.349397590361446
"47","Livingston",56025,190832,0,189754,1,1,1,29.3582837259998,29.5250693002519,0.421686746987952
"48","Luce",1508,6286,0.439,6338,49,4,3,23.9898186446071,23.7929946355317,0.144578313253012
"49","Mackinac",3247,10781,0.8293,10780,53,4,5,30.1177998330396,30.1205936920223,0.469879518072289
"50","Macomb",244654,870893,0.5488,870325,25,2,3,28.0923144404651,28.1106483210295,0.337349397590361
"51","Manistee",8675,24539,0.5244,24457,22,2,3,35.3518888300257,35.4704174673917,0.783132530120482
"52","Marquette",25684,66403,0.2073,66686,38,3,2,38.6789753474994,38.5148306990973,0.927710843373494
"53","Mason",10206,29062,0.6098,28954,35,3,3,35.1180235358888,35.2490156800442,0.759036144578313
"54","Mecosta",11198,43481,0.8049,43251,64,5,4,25.7537775120167,25.8907308501538,0.240963855421687
"55","Menominee",4410,22902,0.2317,23074,24,2,2,19.2559601781504,19.1124209066482,0.0240963855421687
